"","Person.ID.1","Role.1","Year.of.Birth.1","Country.of.Birth.1","Home.Language.1","Dept.No..1","Faculty.No..1","With.PHD.1","No..of.Years.in.Uni.at.Time.of.Grant.1","Number.of.Successful.Grant.1","Number.of.Unsuccessful.Grant.1","A..1","A.1","B.1","C.1","data$Grant.Status","index","age"
"35","5287","CHIEF_INVESTIGATOR",1960,"Australia","","3123","31","Yes ",">=0 to 5",2,1,8,3,1,0,1,35,47
"36","66887","CHIEF_INVESTIGATOR",1955,"Australia","","2813","25","No","Less than 0",0,2,0,5,2,0,0,36,52
"37","70662","CHIEF_INVESTIGATOR",1970,"Australia","","3268","31","No","Less than 0",1,1,0,3,0,0,0,37,37
"38","69812","CHIEF_INVESTIGATOR",1960,"Australia","","2813","25","No",">5 to 10",1,5,10,7,9,1,0,38,47
"39","35382","CHIEF_INVESTIGATOR",1970,"Australia","","2103","19","No","Less than 0",0,1,4,9,0,0,0,39,37
"40","149767","CHIEF_INVESTIGATOR",1975,"Australia","","2828","25","No","",1,2,0,0,0,0,0,40,32
"41","63562","CHIEF_INVESTIGATOR",1940,"Australia","","2523","25","No","Less than 0",1,1,0,2,5,2,0,41,67
"42","71867","CHIEF_INVESTIGATOR",1945,"Australia","","2578","25","Yes ",">10 to 15",3,1,7,19,26,13,0,42,62
"43","142457","CHIEF_INVESTIGATOR",1970,"Australia","","2713","25","No","Less than 0",1,1,0,0,0,0,1,43,37
"44","74162","CHIEF_INVESTIGATOR",1970,"Australia","","2813","25","Yes ",">5 to 10",1,0,10,19,7,6,1,44,37
"45","67647","CHIEF_INVESTIGATOR",1965,"Australia","","2678","25","Yes ",">5 to 10",1,6,9,8,8,4,0,45,42
"46","63492","CHIEF_INVESTIGATOR",1945,"Australia","","2523","25","No","Less than 0",0,1,1,0,9,4,0,46,62
"47","26877","CHIEF_INVESTIGATOR",1935,"Australia","","3123","31","No",">5 to 10",0,0,0,2,4,1,1,47,72
"48","69812","CHIEF_INVESTIGATOR",1960,"Australia","","2813","25","No",">5 to 10",1,5,10,7,9,1,0,48,47
"49","491312","CHIEF_INVESTIGATOR",1960,"Australia","","2563","25","Yes ",">=0 to 5",0,3,0,0,0,0,0,49,47
"50","66672","CHIEF_INVESTIGATOR",1960,"Australia","","1258","34","Yes ",">10 to 15",2,0,16,15,13,15,1,50,47
"51","70662","CHIEF_INVESTIGATOR",1970,"Australia","","3268","31","No","Less than 0",1,1,0,3,0,0,1,51,37
"52","30977","CHIEF_INVESTIGATOR",1950,"Great Britain","","3028","31","No","Less than 0",1,0,10,8,8,9,1,52,57
"53","30457","CHIEF_INVESTIGATOR",1955,"Asia Pacific","","2558","25","No","Less than 0",0,0,0,0,2,1,0,53,52
"54","79802","PRINCIPAL_SUPERVISOR",1950,"Australia","","3028","31","Yes ","more than 15",1,0,1,8,9,5,1,54,57
"55","10577","CHIEF_INVESTIGATOR",1960,"Australia","","2653","25","No",">5 to 10",0,1,3,4,3,1,1,55,47
"56","85642","CHIEF_INVESTIGATOR",1955,"Australia","","3258","31","Yes ",">=0 to 5",1,5,16,21,24,6,1,56,52
"57","82377","CHIEF_INVESTIGATOR",1950,"New Zealand","","2298","46","Yes ","more than 15",0,0,1,0,1,3,0,59,57
"58","46237","CHIEF_INVESTIGATOR",1945,"","",NA,NA,"No","",0,0,0,1,2,1,0,61,62
"59","9227","CHIEF_INVESTIGATOR",1970,"Australia","","1258","34","Yes ",">=0 to 5",0,3,0,2,3,3,0,63,37
"60","16137","CHIEF_INVESTIGATOR",1950,"Australia","","2653","25","No",">5 to 10",1,5,4,3,1,0,0,64,57
"61","69147","CHIEF_INVESTIGATOR",1960,"Australia","","2778","25","No",">5 to 10",0,1,1,1,0,2,0,65,47
"62","15187","CHIEF_INVESTIGATOR",1960,"Australia","","3198","31","Yes ",">10 to 15",0,1,4,17,0,3,0,66,47
"63","43882","CHIEF_INVESTIGATOR",1975,"Australia","","2768","25","Yes ",">=0 to 5",0,5,3,4,2,1,0,67,32
"64","30017","CHIEF_INVESTIGATOR",1960,"Australia","","2893","25","No",">=0 to 5",0,0,0,7,9,3,1,68,47
"65","1217","CHIEF_INVESTIGATOR",1960,"Australia","English","3028","31","Yes ","more than 15",2,0,16,13,8,0,1,69,47
"66","489582","CHIEF_INVESTIGATOR",1975,"Great Britain","","3048","31","Yes ",">=0 to 5",0,1,11,1,2,0,0,70,32
"67","76352","CHIEF_INVESTIGATOR",1965,"Australia","","2523","25","Yes ",">10 to 15",1,0,4,4,0,0,1,71,42
"68","81067","CHIEF_INVESTIGATOR",1940,"Australia","","3508","4","No","more than 15",1,1,1,5,0,2,0,72,67
"69","74162","CHIEF_INVESTIGATOR",1970,"Australia","","2813","25","Yes ",">5 to 10",1,0,10,19,7,6,1,73,37
"70","66657","PRINCIPAL_SUPERVISOR",1965,"Australia","","2668","25","No","Less than 0",0,0,10,4,2,0,0,74,42
"71","66902","CHIEF_INVESTIGATOR",1945,"Australia","","1033","1","No","Less than 0",1,0,0,0,1,0,1,75,62
"72","79057","CHIEF_INVESTIGATOR",1955,"Australia","","2603","25","No",">5 to 10",1,0,2,2,1,0,1,76,52
"73","22972","CHIEF_INVESTIGATOR",1965,"Australia","","2523","25","No","Less than 0",0,1,0,2,1,3,0,77,42
"74","4222","CHIEF_INVESTIGATOR",1960,"Australia","","2768","25","No",">10 to 15",0,2,9,11,4,2,0,78,47
"75","1797","CHIEF_INVESTIGATOR",1960,"North America","","2678","25","Yes ",">5 to 10",2,7,0,8,4,0,0,79,47
"76","85642","CHIEF_INVESTIGATOR",1955,"Australia","","3258","31","Yes ",">=0 to 5",1,5,16,21,24,6,0,80,52
"77","5967","CHIEF_INVESTIGATOR",1955,"Australia","","2923","25","Yes ",">5 to 10",0,1,0,3,5,2,1,81,52
"78","76352","CHIEF_INVESTIGATOR",1965,"Australia","","2523","25","Yes ",">10 to 15",1,0,4,4,0,0,1,82,42
"79","74302","CHIEF_INVESTIGATOR",1960,"Australia","","2603","25","Yes ",">10 to 15",2,1,1,1,1,0,1,83,47
"80","131257","CHIEF_INVESTIGATOR",1980,"Australia","","2923","25","No","",0,1,0,0,0,0,0,84,27
"81","56387","CHIEF_INVESTIGATOR",1960,"Australia","","3268","31","Yes ",">=0 to 5",1,1,0,1,0,0,0,85,47
"82","39632","CHIEF_INVESTIGATOR",1975,"Great Britain","","2533","25","Yes ",">=0 to 5",0,2,0,0,1,3,0,86,32
"83","85642","CHIEF_INVESTIGATOR",1955,"Australia","","3258","31","Yes ",">=0 to 5",1,5,16,21,24,6,0,87,52
"84","8012","CHIEF_INVESTIGATOR",1960,"Western Europe","","1098","1","Yes ",">5 to 10",1,1,0,0,0,1,0,88,47
"85","71867","CHIEF_INVESTIGATOR",1945,"Australia","","2578","25","Yes ",">10 to 15",3,1,7,19,26,13,0,89,62
"86","12957","CHIEF_INVESTIGATOR",1965,"Great Britain","","2603","25","Yes ",">5 to 10",1,6,10,6,8,1,0,91,42
"87","8772","CHIEF_INVESTIGATOR",1965,"Australia","","2763","25","No","Less than 0",3,2,3,6,3,1,0,92,42
"88","73017","CHIEF_INVESTIGATOR",1960,"The Americas","","2103","19","Yes ",">10 to 15",0,2,4,1,3,3,0,93,47
"89","125287","CHIEF_INVESTIGATOR",1945,"Australia","","2103","19","Yes ",">=0 to 5",0,2,0,0,0,0,0,94,62
"90","497907","CHIEF_INVESTIGATOR",1970,"Australia","","2578","25","Yes ","Less than 0",0,0,3,1,1,0,1,95,37
"91","1687","CHIEF_INVESTIGATOR",1960,"Great Britain","","2603","25","Yes ",">10 to 15",1,0,7,10,3,1,1,96,47
"92","132232","CHIEF_INVESTIGATOR",1975,"Australia","","2523","25","Yes ",">=0 to 5",1,0,0,0,1,0,0,98,32
"93","28682","CHIEF_INVESTIGATOR",1975,"Australia","","828","7","Yes ",">=0 to 5",1,0,0,1,1,2,1,99,32
"94","67622","CHIEF_INVESTIGATOR",1945,"North America","","803","7","Yes ","more than 15",0,1,0,0,0,0,0,100,62
"95","115417","CHIEF_INVESTIGATOR",1965,"Western Europe","Other","2253","19","Yes ",">=0 to 5",0,1,0,4,4,0,0,101,42
"96","19362","CHIEF_INVESTIGATOR",1955,"Australia","","2893","25","No",">=0 to 5",0,1,0,2,3,0,0,102,52
"97","73737","CHIEF_INVESTIGATOR",1950,"Australia","","828","7","No","Less than 0",0,0,0,3,3,1,1,103,57
"98","69952","CHIEF_INVESTIGATOR",1960,"Australia","","1578","13","Yes ",">10 to 15",0,0,2,8,6,0,1,105,47
"99","74932","CHIEF_INVESTIGATOR",1960,"Great Britain","","2668","25","Yes ",">10 to 15",0,0,2,3,6,0,1,107,47
"100","26857","CHIEF_INVESTIGATOR",1965,"Australia","","1033","1","No","Less than 0",0,1,0,0,0,0,0,108,42
"101","79427","PRINCIPAL_SUPERVISOR",1960,"Australia","","2498","25","No","Less than 0",0,1,1,1,1,3,0,109,47
"102","730092","CHIEF_INVESTIGATOR",1975,"","","2653","25","No","Less than 0",1,0,1,0,0,0,1,110,32
"103","7947","CHIEF_INVESTIGATOR",1960,"Asia Pacific","","3048","31","Yes ",">5 to 10",0,0,9,4,2,2,1,111,47
"104","38697","CHIEF_INVESTIGATOR",1960,"Australia","","2778","25","No","",0,1,3,3,0,0,0,112,47
"105","34737","CHIEF_INVESTIGATOR",1970,"North America","","2603","25","Yes ","Less than 0",1,5,1,6,6,1,0,114,37
"106","27757","CHIEF_INVESTIGATOR",1960,"Australia","","2813","25","No",">5 to 10",2,0,8,5,4,0,1,115,47
"107","712","CHIEF_INVESTIGATOR",1970,"Great Britain","","1678","13","Yes ",">=0 to 5",0,0,0,2,4,0,1,116,37
"108","726602","CHIEF_INVESTIGATOR",1970,"","","2523","25","No","Less than 0",1,0,0,0,0,0,1,117,37
"109","80187","CHIEF_INVESTIGATOR",1945,"Australia","","3123","31","No","Less than 0",0,1,2,6,9,2,0,118,62
"110","84627","CHIEF_INVESTIGATOR",1960,"Australia","","2973","25","Yes ",">=0 to 5",0,1,8,5,0,3,0,119,47
"111","73882","CHIEF_INVESTIGATOR",1960,"Great Britain","","2713","25","No","Less than 0",1,1,4,3,2,1,0,120,47
"112","118747","CHIEF_INVESTIGATOR",1980,"Australia","","2713","25","No",">=0 to 5",0,2,0,0,0,0,0,121,27
"113","85642","CHIEF_INVESTIGATOR",1955,"Australia","","3258","31","Yes ",">=0 to 5",1,5,16,21,24,6,1,122,52
"114","69262","CHIEF_INVESTIGATOR",1960,"Australia","","2653","25","Yes ",">10 to 15",1,0,7,5,7,7,1,123,47
"115","80377","CHIEF_INVESTIGATOR",1945,"Australia","","3258","31","Yes ","more than 15",3,1,4,4,6,1,1,124,62
"116","18377","CHIEF_INVESTIGATOR",1960,"Australia","","2923","25","Yes ",">5 to 10",1,0,1,0,6,0,1,125,47
"117","148087","CHIEF_INVESTIGATOR",1950,"Australia","","2653","25","No",">=0 to 5",0,2,2,1,0,0,0,126,57
"118","48892","CHIEF_INVESTIGATOR",1980,"Australia","","3028","31","No","Less than 0",0,1,0,0,0,0,0,127,27
"119","67282","CHIEF_INVESTIGATOR",1965,"Australia","","2578","25","Yes ",">5 to 10",0,2,4,3,4,3,1,128,42
"120","77112","CHIEF_INVESTIGATOR",1960,"Great Britain","","2763","25","Yes ",">=0 to 5",1,1,12,10,5,0,0,129,47
"121","12957","CHIEF_INVESTIGATOR",1965,"Great Britain","","2603","25","Yes ",">5 to 10",1,6,10,6,8,1,0,130,42
"122","22792","CHIEF_INVESTIGATOR",1955,"Australia","","3508","4","Yes ",">5 to 10",0,2,0,2,0,1,0,131,52
"123","612","DELEGATED_RESEARCHER",1960,"Australia","","3123","31","Yes ",">10 to 15",0,1,7,1,2,0,1,132,47
"124","12957","CHIEF_INVESTIGATOR",1965,"Great Britain","","2603","25","Yes ",">5 to 10",1,6,10,6,8,1,1,133,42
"125","78752","CHIEF_INVESTIGATOR",1955,"Western Europe","","2713","25","Yes ",">10 to 15",1,1,6,5,2,0,0,134,52
"126","81067","CHIEF_INVESTIGATOR",1940,"Australia","","3508","4","No","more than 15",1,1,1,5,0,2,1,135,67
"127","148087","CHIEF_INVESTIGATOR",1950,"Australia","","2653","25","No",">=0 to 5",0,2,2,1,0,0,0,136,57
"128","26107","CHIEF_INVESTIGATOR",1970,"Australia","","2558","25","Yes ",">5 to 10",1,1,1,4,4,0,0,137,37
"129","73017","CHIEF_INVESTIGATOR",1960,"The Americas","","2103","19","Yes ",">10 to 15",0,2,4,1,3,3,0,138,47
"130","492057","CHIEF_INVESTIGATOR",1965,"Asia Pacific","Other","3048","31","Yes ",">=0 to 5",1,2,0,0,12,4,1,139,42
"131","80502","CHIEF_INVESTIGATOR",1950,"Australia","English","2578","25","Yes ",">5 to 10",0,0,0,2,3,1,1,140,57
"132","68817","CHIEF_INVESTIGATOR",1955,"Australia","","2713","25","Yes ",">10 to 15",0,2,3,10,4,1,0,141,52
"133","68512","CHIEF_INVESTIGATOR",1945,"","",NA,NA,"No","",0,0,0,0,0,0,0,142,62
"134","64277","CHIEF_INVESTIGATOR",1950,"Australia","","2973","25","Yes ",">10 to 15",0,0,17,9,2,4,0,144,57
"135","783297","CHIEF_INVESTIGATOR",1975,"","","2538","25","No","Less than 0",1,0,0,0,0,0,1,145,32
"136","16332","CHIEF_INVESTIGATOR",1955,"","",NA,NA,"No","",0,0,0,0,2,0,0,146,52
"137","393152","CHIEF_INVESTIGATOR",1940,"Australia","","2298","46","Yes ","Less than 0",0,1,0,0,0,0,0,147,67
"138","65712","CHIEF_INVESTIGATOR",1950,"Western Europe","","2523","25","No","more than 15",0,1,0,2,4,2,0,148,57
"139","40947","CHIEF_INVESTIGATOR",1965,"Australia","English","2653","25","Yes ",">=0 to 5",0,2,3,2,0,1,0,149,42
"140","93802","CHIEF_INVESTIGATOR",1970,"Australia","","2563","25","Yes ",">=0 to 5",0,1,0,0,1,13,0,150,37
"141","159607","CHIEF_INVESTIGATOR",1955,"The Americas","Other","2553","25","Yes ",">=0 to 5",0,2,0,5,5,5,0,152,52
"142","6712","CHIEF_INVESTIGATOR",1950,"Australia","","2563","25","No","Less than 0",1,1,0,1,1,1,0,153,57
"143","34177","CHIEF_INVESTIGATOR",1960,"North America","","2523","25","No",">=0 to 5",0,2,2,1,0,10,0,154,47
"144","624752","CHIEF_INVESTIGATOR",1970,"","",NA,NA,"No","",0,1,1,1,1,0,0,155,37
"145","107667","CHIEF_INVESTIGATOR",1955,"Australia","","2778","25","No",">=0 to 5",1,0,1,2,1,0,1,156,52
"146","86302","CHIEF_INVESTIGATOR",1970,"Australia","","2763","25","Yes ",">=0 to 5",0,5,1,0,0,0,0,157,37
"147","500137","CHIEF_INVESTIGATOR",1975,"North America","","3198","31","No","",1,0,2,0,0,0,1,159,32
"148","1797","CHIEF_INVESTIGATOR",1960,"North America","","2678","25","Yes ",">5 to 10",2,7,0,8,4,0,0,160,47
"149","34737","CHIEF_INVESTIGATOR",1970,"North America","","2603","25","Yes ","Less than 0",1,5,1,6,6,1,0,161,37
"150","122392","CHIEF_INVESTIGATOR",1975,"Australia","","2813","25","No","Less than 0",0,2,0,0,0,0,0,163,32
"151","30772","CHIEF_INVESTIGATOR",1970,"Australia","","2603","25","No",">=0 to 5",0,0,3,2,0,0,1,164,37
"152","63962","CHIEF_INVESTIGATOR",1950,"Australia","","1258","34","Yes ","more than 15",2,0,1,16,7,3,1,165,57
"153","145057","CHIEF_INVESTIGATOR",1965,"Australia","","593","7","Yes ",">=0 to 5",1,0,0,0,0,0,1,166,42
"154","25947","CHIEF_INVESTIGATOR",1960,"Australia","","1038","1","No","",1,1,0,0,0,0,1,167,47
"155","46377","CHIEF_INVESTIGATOR",1970,"Australia","","2763","25","No","",0,1,2,1,0,0,0,168,37
"156","15162","CHIEF_INVESTIGATOR",1965,"Australia","","3048","31","Yes ",">=0 to 5",0,0,22,2,2,1,1,169,42
"157","4702","CHIEF_INVESTIGATOR",1960,"Australia","","1033","1","Yes ",">5 to 10",0,1,8,7,6,0,1,170,47
"158","147722","CHIEF_INVESTIGATOR",1970,"Great Britain","","2923","25","No","Less than 0",0,0,0,1,2,0,1,171,37
"159","89472","CHIEF_INVESTIGATOR",1970,"Australia","","3048","31","Yes ",">=0 to 5",1,1,15,1,3,0,0,172,37
"160","72317","CHIEF_INVESTIGATOR",1950,"Great Britain","","2678","25","Yes ",">10 to 15",1,0,7,4,4,0,1,174,57
"161","917","CHIEF_INVESTIGATOR",1960,"Australia","","3123","31","No","Less than 0",1,1,1,1,1,0,1,175,47
"162","71442","CHIEF_INVESTIGATOR",1965,"Australia","","1098","1","Yes ",">=0 to 5",1,1,0,1,3,1,1,176,42
"163","67412","CHIEF_INVESTIGATOR",1960,"Asia Pacific","English","548","7","Yes ",">10 to 15",0,2,0,1,0,0,0,177,47
"164","78817","CHIEF_INVESTIGATOR",1950,"Western Europe","","2713","25","Yes ","more than 15",2,0,4,8,6,2,1,178,57
"165","4302","CHIEF_INVESTIGATOR",1965,"Australia","","3198","31","Yes ",">10 to 15",1,1,2,7,6,3,1,179,42
"166","500157","PRINCIPAL_SUPERVISOR",1970,"Australia","English","3258","31","Yes ",">=0 to 5",0,0,9,0,1,0,1,180,37
"167","1797","CHIEF_INVESTIGATOR",1960,"North America","","2678","25","Yes ",">5 to 10",2,7,0,8,4,0,1,181,47
"168","69212","CHIEF_INVESTIGATOR",1940,"Australia","","2778","25","No","more than 15",0,1,0,1,4,0,0,182,67
"169","17622","CHIEF_INVESTIGATOR",1955,"Australia","","2568","25","No","",0,2,4,14,10,5,0,183,52
"170","77887","CHIEF_INVESTIGATOR",1965,"Australia","","3073","31","Yes ",">=0 to 5",0,1,0,1,0,0,0,184,42
"171","20122","CHIEF_INVESTIGATOR",1965,"Great Britain","","2523","25","Yes ",">=0 to 5",0,1,0,7,2,1,0,185,42
"172","12957","CHIEF_INVESTIGATOR",1965,"Great Britain","","2603","25","Yes ",">5 to 10",1,6,10,6,8,1,0,186,42
"173","86672","CHIEF_INVESTIGATOR",1975,"Australia","","2713","25","Yes ",">=0 to 5",1,0,0,0,0,0,1,187,32
"174","68472","PRINCIPAL_SUPERVISOR",1955,"Australia","","1033","1","No","Less than 0",0,1,0,7,7,0,1,188,52
"175","9227","CHIEF_INVESTIGATOR",1970,"Australia","","1258","34","Yes ",">=0 to 5",0,3,0,2,3,3,0,189,37
"176","28342","CHIEF_INVESTIGATOR",1960,"Australia","","2153","19","Yes ","Less than 0",1,0,0,3,5,0,1,190,47
"177","77327","CHIEF_INVESTIGATOR",1935,"Australia","","653","7","No","Less than 0",0,1,0,6,0,0,0,191,72
"178","74142","CHIEF_INVESTIGATOR",1970,"Australia","","2103","19","Yes ",">5 to 10",0,3,1,0,4,0,0,192,37
"179","67282","CHIEF_INVESTIGATOR",1965,"Australia","","2578","25","Yes ",">5 to 10",0,2,4,3,4,3,0,194,42
"180","11342","CHIEF_INVESTIGATOR",1965,"Australia","","2558","25","Yes ",">=0 to 5",0,1,0,0,1,0,0,195,42
"181","55437","CHIEF_INVESTIGATOR",1940,"Great Britain","","2668","25","Yes ","Less than 0",0,4,4,0,1,1,0,196,67
"182","79562","CHIEF_INVESTIGATOR",1955,"Australia","","2883","25","Yes ","more than 15",1,0,0,0,2,12,1,197,52
"183","46697","CHIEF_INVESTIGATOR",1980,"Australia","English","498","7","No","Less than 0",0,1,0,0,0,0,0,198,27
"184","84622","CHIEF_INVESTIGATOR",1955,"Australia","","2973","25","No",">=0 to 5",0,3,8,6,1,2,0,199,52
"185","17342","CHIEF_INVESTIGATOR",1960,"Australia","","2828","25","Yes ",">=0 to 5",0,7,2,13,13,3,0,201,47
"186","26887","CHIEF_INVESTIGATOR",1970,"Australia","","3658","22","Yes ",">=0 to 5",2,0,2,4,2,1,1,202,37
"187","649042","CHIEF_INVESTIGATOR",1975,"Australia","","2523","25","Yes ",">=0 to 5",3,0,0,0,0,0,1,203,32
"188","8667","CHIEF_INVESTIGATOR",1965,"Australia","","3658","22","Yes ",">5 to 10",0,1,0,4,0,0,0,204,42
"189","99052","CHIEF_INVESTIGATOR",1970,"Australia","","3273","31","Yes ",">=0 to 5",1,0,7,1,2,0,1,205,37
"190","67182","CHIEF_INVESTIGATOR",1940,"Australia","","3708","10","No","Less than 0",0,1,0,2,2,1,0,206,67
"191","135457","CHIEF_INVESTIGATOR",1975,"Western Europe","","3198","31","No","Less than 0",0,0,0,0,9,1,1,207,32
"192","98212","CHIEF_INVESTIGATOR",1965,"Australia","","2653","25","No","more than 15",1,1,9,7,3,0,0,208,42
"193","44022","CHIEF_INVESTIGATOR",1965,"Australia","","3508","4","No","",1,3,0,0,2,0,0,209,42
"194","69657","CHIEF_INVESTIGATOR",1955,"Great Britain","English","828","7","Yes ","more than 15",2,3,0,2,9,3,1,210,52
"195","67932","CHIEF_INVESTIGATOR",1960,"","",NA,NA,"No","",0,0,6,10,7,6,0,211,47
"196","15287","CHIEF_INVESTIGATOR",1970,"North America","","2523","25","Yes ",">=0 to 5",1,1,1,7,4,0,0,212,37
"197","79217","CHIEF_INVESTIGATOR",1955,"Australia","","2828","25","No","Less than 0",1,1,3,1,0,0,0,213,52
"198","813567","CHIEF_INVESTIGATOR",1970,"","","2533","25","Yes ","Less than 0",1,0,1,1,1,1,1,214,37
"199","145857","CHIEF_INVESTIGATOR",1965,"Eastern Europe","Other","2678","25","No","Less than 0",1,0,1,3,1,1,1,215,42
"200","43597","CHIEF_INVESTIGATOR",1965,"South Africa","","803","7","No","Less than 0",0,1,5,13,5,4,0,216,42
"201","24017","PRINCIPAL_SUPERVISOR",1970,"Australia","","2603","25","Yes ",">5 to 10",1,1,6,2,2,0,0,217,37
"202","77977","CHIEF_INVESTIGATOR",1965,"Australia","","2523","25","No","Less than 0",0,0,0,9,1,0,0,218,42
"203","9757","CHIEF_INVESTIGATOR",1960,"Australia","","2668","25","Yes ",">5 to 10",0,0,8,5,2,1,1,219,47
"204","34417","CHIEF_INVESTIGATOR",1970,"Australia","","1578","13","Yes ",">=0 to 5",0,0,5,6,1,0,1,220,37
"205","85642","CHIEF_INVESTIGATOR",1955,"Australia","","3258","31","Yes ",">=0 to 5",1,5,16,21,24,6,1,221,52
"206","14757","CHIEF_INVESTIGATOR",1975,"Australia","","2053","19","No","Less than 0",0,0,3,3,2,1,1,222,32
"207","79747","CHIEF_INVESTIGATOR",1940,"North America","","3028","31","No","Less than 0",0,1,0,3,8,4,0,223,67
"208","74372","CHIEF_INVESTIGATOR",1955,"Australia","","2893","25","No",">=0 to 5",0,0,5,17,7,2,0,226,52
"209","67282","CHIEF_INVESTIGATOR",1965,"Australia","","2578","25","Yes ",">5 to 10",0,2,4,3,4,3,1,227,42
"210","73402","CHIEF_INVESTIGATOR",1965,"Great Britain","","3268","31","Yes ",">5 to 10",0,1,3,8,1,0,0,228,42
"211","73547","CHIEF_INVESTIGATOR",1940,"Australia","","2578","25","No","Less than 0",0,2,4,10,4,6,0,229,67
"212","641012","CHIEF_INVESTIGATOR",1975,"","","2853","25","No",">=0 to 5",0,0,0,0,0,0,0,230,32
